verification_id;run_id;type;name;stop_if_fail;max_retries
3022;756;TX;LO_leakage;t;0
3023;756;TX;power_level;t;0
3024;756;TX;IQ_imbalance;f;0
3025;757;RX;IQ_imbalance;f;3
3026;757;TX;LO_leakage;t;0
3027;757;TX;power_level;t;0
3028;757;TX;IQ_imbalance;f;0
3029;758;RX;IQ_imbalance;f;3
3030;758;TX;LO_leakage;t;0
3031;758;TX;power_level;t;0
3032;758;TX;IQ_imbalance;f;0
3033;759;RX;IQ_imbalance;f;3
3034;759;TX;LO_leakage;t;0
3035;759;TX;power_level;t;0
3036;759;TX;IQ_imbalance;f;0
3037;760;RX;IQ_imbalance;f;3
3038;760;TX;LO_leakage;t;0
3039;760;TX;power_level;t;0
3040;760;TX;IQ_imbalance;f;0
3041;761;RX;IQ_imbalance;f;3
3042;761;TX;LO_leakage;t;0
3043;761;TX;power_level;t;0
3044;761;TX;IQ_imbalance;f;0
3045;762;RX;IQ_imbalance;f;3
3046;762;TX;LO_leakage;t;0
3047;762;TX;power_level;t;0
3048;762;TX;IQ_imbalance;f;0
3049;763;RX;IQ_imbalance;f;3
3050;763;TX;LO_leakage;t;0
3051;763;TX;power_level;t;0
3052;763;TX;IQ_imbalance;f;0
3053;764;RX;IQ_imbalance;f;3
3054;764;TX;LO_leakage;t;0
3055;764;TX;power_level;t;0
3056;764;TX;IQ_imbalance;f;0
3057;765;RX;IQ_imbalance;f;3
3058;765;TX;LO_leakage;t;0
3059;765;TX;power_level;t;0
3060;765;TX;IQ_imbalance;f;0
3061;766;RX;IQ_imbalance;f;3
3062;766;TX;LO_leakage;t;0
3063;766;TX;power_level;t;0
3064;766;TX;IQ_imbalance;f;0
3065;767;RX;IQ_imbalance;f;3
3066;767;TX;LO_leakage;t;0
3067;767;TX;power_level;t;0
3068;767;TX;IQ_imbalance;f;0
3069;768;RX;IQ_imbalance;f;3
3070;768;TX;LO_leakage;t;0
3071;768;TX;power_level;t;0
3072;768;TX;IQ_imbalance;f;0
3073;769;RX;IQ_imbalance;f;3
3074;769;TX;LO_leakage;t;0
3075;769;TX;power_level;t;0
3076;769;TX;IQ_imbalance;f;0
3077;770;RX;IQ_imbalance;f;3
3078;770;TX;LO_leakage;t;0
3079;770;TX;power_level;t;0
3080;770;TX;IQ_imbalance;f;0
3081;771;RX;IQ_imbalance;f;3
3082;771;TX;LO_leakage;t;0
3083;771;TX;power_level;t;0
3084;771;TX;IQ_imbalance;f;0
3085;772;RX;IQ_imbalance;f;3
3086;772;TX;LO_leakage;t;0
3087;772;TX;power_level;t;0
3088;772;TX;IQ_imbalance;f;0
3089;773;RX;IQ_imbalance;f;3
3090;773;TX;LO_leakage;t;0
3091;773;TX;power_level;t;0
3092;773;TX;IQ_imbalance;f;0
3093;774;RX;IQ_imbalance;f;3
3094;774;TX;LO_leakage;t;0
3095;774;TX;power_level;t;0
3096;774;TX;IQ_imbalance;f;0
3097;775;RX;IQ_imbalance;f;3
3098;775;TX;LO_leakage;t;0
3099;775;TX;power_level;t;0
3100;775;TX;IQ_imbalance;f;0
3101;776;RX;IQ_imbalance;f;3
3102;776;TX;LO_leakage;t;0
3103;776;TX;power_level;t;0
3104;776;TX;IQ_imbalance;f;0
3105;777;RX;IQ_imbalance;f;3
3106;777;TX;LO_leakage;t;0
3107;777;TX;power_level;t;0
3108;777;TX;IQ_imbalance;f;0
3109;778;RX;IQ_imbalance;f;3
3110;778;TX;LO_leakage;t;0
3111;778;TX;power_level;t;0
3112;778;TX;IQ_imbalance;f;0
3113;779;RX;IQ_imbalance;f;3
3114;779;TX;LO_leakage;t;0
3115;779;TX;power_level;t;0
3116;779;TX;IQ_imbalance;f;0
3117;780;RX;IQ_imbalance;f;3
3118;780;TX;LO_leakage;t;0
3119;780;TX;power_level;t;0
3120;780;TX;IQ_imbalance;f;0
3121;781;RX;IQ_imbalance;f;3
3122;781;TX;LO_leakage;t;0
3123;781;TX;power_level;t;0
3124;781;TX;IQ_imbalance;f;0
3125;782;RX;IQ_imbalance;f;3
3126;782;TX;LO_leakage;t;0
3127;782;TX;power_level;t;0
3128;782;TX;IQ_imbalance;f;0
3129;783;RX;IQ_imbalance;f;3
3130;783;TX;LO_leakage;t;0
3131;783;TX;power_level;t;0
3132;783;TX;IQ_imbalance;f;0
3133;784;RX;IQ_imbalance;f;3
3134;784;TX;LO_leakage;t;0
3135;784;TX;power_level;t;0
3136;784;TX;IQ_imbalance;f;0
3137;785;RX;IQ_imbalance;f;3
3138;785;TX;LO_leakage;t;0
3139;785;TX;power_level;t;0
3140;785;TX;IQ_imbalance;f;0
3141;786;RX;IQ_imbalance;f;3
3142;786;TX;LO_leakage;t;0
3143;786;TX;power_level;t;0
3144;786;TX;IQ_imbalance;f;0
3145;787;RX;IQ_imbalance;f;3
3146;787;TX;LO_leakage;t;0
3147;787;TX;power_level;t;0
3148;787;TX;IQ_imbalance;f;0
3149;788;RX;IQ_imbalance;f;3
3150;788;TX;LO_leakage;t;0
3151;788;TX;power_level;t;0
3152;788;TX;IQ_imbalance;f;0
3153;789;RX;IQ_imbalance;f;3
3154;789;TX;LO_leakage;t;0
3155;789;TX;power_level;t;0
3156;789;TX;IQ_imbalance;f;0
3157;790;RX;IQ_imbalance;f;3
3158;790;TX;LO_leakage;t;0
3159;790;TX;power_level;t;0
3160;790;TX;IQ_imbalance;f;0
3161;791;RX;IQ_imbalance;f;3
3162;791;TX;LO_leakage;t;0
3163;791;TX;power_level;t;0
